task_id,task_type,instruction,query,golden_answer
1-1,Memorization,"You are required to provide the precise legal text corresponding to the specified article from the Code of the District of Columbia. This task evaluates your ability to recall the exact wording of financial regulations. Do not provide a summary or interpretation. Your answer must match the official legal language as stated in the Code, ensuring that all clauses, exceptions, and legal terms are accurately reproduced.","Provide the verbatim text of § 26–801 from the Code of the District of Columbia. This article outlines the legal provisions related to joint accounts, specifically addressing the rights and obligations of individuals named on these accounts.","""Except as provided in §§ 19-602.21 to 19-602.26, when a deposit is made in the name of two or more persons, such deposit may be withdrawn or paid to any one of them, or to the survivor upon the death of the other, unless there is specific direction to the contrary."""
1-2,Memorization,Provide a detailed and precise answer to the question based on your knowledge of the specified article from the Code of the District of Columbia. This task evaluates your ability to accurately recall and apply legal provisions regarding the responsibilities of financial institutions. Your response should align strictly with the legal text and reflect the official language of the Code. Do not include extraneous interpretations or summaries beyond what is asked.,"What is the primary legal obligation of financial institutions as established in § 26–802 of the Code of the District of Columbia, particularly in relation to the disclosure of interest rates on savings accounts? Ensure your answer specifies the obligations and their purpose as outlined in the Code.","""Under § 26–802, financial institutions are required to clearly disclose all applicable interest rates for savings accounts. This includes providing transparent and accessible information to customers to ensure compliance with District regulations and promote informed decision-making."""
2-1,Understanding," Carefully analyze the provided text extracted from § 26–803 of the Code of the District of Columbia. Your task is to identify any inaccuracies, ambiguities, or outdated phrasing in the statement. Propose a revised version that aligns with modern legal and regulatory standards, ensuring it is both grammatically correct and precise in its legal language. Your response should reflect the legal intent of the provision while incorporating contemporary practices and terminology, as applicable.","Review the following statement extracted from § 26–803: ""Deposits shall only be paid in person to the depositor."" Identify any issues with this phrasing, including potential ambiguities or outdated requirements. Rewrite the statement to ensure it is legally precise and reflective of current practices in financial regulations.","""Corrected text: 'Deposits may be withdrawn by the depositor in person, through an authorized representative, or via approved digital banking platforms, as permitted by the institution's policies and subject to applicable regulations.'"""
2-2,Understanding,"Analyze the specified article from the Code of the District of Columbia to identify its central issue or the primary legal question it addresses. Focus on determining the core controversy or dispute described in the article, paying close attention to the implications for compliance with relevant financial regulations. Your analysis should provide a concise and accurate description of the legal problem or question raised, framed within the context of the article’s provisions.","What is the central legal issue or controversy described in § 26–804 of the Code of the District of Columbia, particularly regarding the adequacy and timeliness of disclosures related to overdraft fees? Provide your response in the context of consumer protection requirements under District law.","""The primary issue in § 26–804 concerns whether financial institutions have fulfilled their obligation to provide customers with clear and timely disclosures about overdraft fees. The dispute often arises when customers claim they were unaware of such fees or the terms under which they were charged, leading to potential violations of the District's consumer protection laws."""
2-3,Understanding,"Carefully examine the specified article from the Code of the District of Columbia to identify and categorize the regulatory compliance obligations it outlines. Focus on key provisions related to institutional responsibilities, legal requirements, and specific regulatory measures. Your analysis should highlight categories such as anti-money laundering (AML), financial reporting, or any other compliance frameworks addressed in the article. Provide a detailed and accurate response that reflects the article’s core objectives and their implications for financial institutions operating under District law.","What are the regulatory compliance obligations detailed in § 26–805 of the Code of the District of Columbia? Specifically, identify the requirements related to anti-money laundering practices and financial reporting thresholds, and explain their relevance to institutional compliance.","""§ 26–805 outlines comprehensive compliance obligations for financial institutions, particularly in the areas of anti-money laundering (AML) and financial reporting. These include mandatory customer due diligence (CDD) to verify account holders' identities, the reporting of suspicious activities to appropriate authorities under specified timelines, and adherence to reporting thresholds for large cash transactions exceeding $10,000. These requirements aim to prevent illicit financial activities and ensure transparency in financial operations, with non-compliance resulting in penalties or regulatory actions."""
2-4,Understanding,"Thoroughly review the specified article from the Code of the District of Columbia and analyze its content to determine the primary topic or issue it addresses. Your task is to summarize the focus of the article, highlighting the key legal or regulatory concerns it seeks to address. Pay special attention to the context of its provisions and their implications for financial institutions. Ensure your response captures the essence of the article in a concise yet comprehensive manner.","What is the main topic addressed in § 26–806 of the Code of the District of Columbia, particularly regarding cybersecurity protocols for financial institutions? Provide a response that reflects the article’s emphasis on safeguarding customer information and maintaining institutional data integrity.","""§ 26–806 centers on implementing robust cybersecurity measures for financial institutions operating within the District. Its provisions mandate the use of advanced data encryption techniques to safeguard sensitive customer information, the establishment of breach notification protocols to ensure timely reporting of unauthorized data access, and regular security audits to assess vulnerabilities and ensure compliance with industry standards. These measures aim to enhance institutional resilience against cyber threats and protect consumer trust in financial systems."""
2-5,Understanding,"Analyze the specified article from the Code of the District of Columbia to identify the penalties it imposes for non-compliance with the outlined legal requirements. Your task is to describe these penalties in detail, highlighting their financial, operational, or regulatory implications for institutions that fail to meet their obligations. Ensure your response reflects the severity and purpose of these penalties, particularly how they aim to enforce compliance and uphold regulatory standards.","What are the penalties imposed under § 26–807 of the Code of the District of Columbia on financial institutions that fail to conduct annual audits as required by law? Provide a detailed response that outlines the specific consequences of non-compliance, including monetary fines and operational restrictions.","""Penalties under § 26–807 are designed to enforce strict compliance with annual audit requirements for financial institutions. These penalties include monetary fines of up to $10,000 per infraction, which serve as a deterrent against negligence. Additionally, institutions that fail to comply may face temporary suspension of their operating licenses, limiting their ability to conduct business until compliance is restored. For repeated violations, regulatory authorities have the power to revoke the institution’s license entirely, signaling the importance of adhering to audit standards to maintain transparency and protect consumer trust."""
2-6,Understanding," Review the specified article from the Code of the District of Columbia and extract all named entities referenced within its text. Focus on identifying specific institutions, regulatory bodies, or other key entities that are central to the article’s provisions. Your task is to provide a comprehensive list of these entities, ensuring that their roles and relevance to the legal or regulatory context are clear. Emphasize any distinctions between different types of institutions, such as banks, credit unions, or non-bank entities, and their licensing requirements.",Which entities are referenced in § 26–808 of the Code of the District of Columbia in relation to the licensing of financial operations within the District? Provide a detailed response listing the relevant entities and their roles as described in the article.,"""§ 26–808 references several key entities involved in the licensing of financial operations within the District. These include District-licensed banks, which serve as the primary financial institutions regulated under this provision; credit unions, which operate under distinct cooperative principles and are subject to specialized licensing requirements; mortgage lenders, whose licensing ensures transparency and compliance in real estate transactions; and non-bank financial institutions, such as payment processors and loan servicing companies, which must obtain specific operating licenses to ensure regulatory oversight and consumer protection. Each of these entities is subject to periodic review and compliance checks to maintain their licenses."""
2-7,Understanding,"Carefully read the specified article from the Code of the District of Columbia and provide a comprehensive summary of the primary arguments or justifications it presents. Your response should highlight the central rationale behind the article’s provisions, including any supporting evidence, examples, or data referenced within the text. Focus on explaining how these arguments relate to the broader goals of the regulation and its intended impact on individuals and institutions. Ensure that your summary captures both the legal reasoning and the practical implications described in the article.",Summarize the arguments presented in § 26–809 of the Code of the District of Columbia regarding the necessity of implementing mandatory financial literacy programs for consumers. Provide a detailed explanation of the rationale and supporting evidence outlined in the article.,"""§ 26–809 emphasizes the critical role of mandatory financial literacy programs in improving consumer decision-making and fostering informed financial behavior. The article argues that such programs are essential to reducing vulnerability to predatory lending practices and ensuring equitable access to financial resources. Supporting evidence includes studies demonstrating a direct correlation between financial education and reduced default rates on loans and credit cards. The provision further highlights the long-term benefits of financial literacy, such as increased savings rates, better retirement planning, and overall economic stability for individuals and communities. By mandating these programs, the article aims to address systemic financial inequities and promote greater consumer protection."""
2-8,Understanding,"Analyze the specified article from the Code of the District of Columbia to identify its key arguments or claims. In addition to outlining these arguments, your response should highlight the supporting evidence, examples, or data referenced within the text. Focus on explaining how the evidence supports the article’s provisions and contributes to its overall purpose. Provide a detailed and structured summary that reflects the article’s intent and practical implications, particularly in the context of regulatory compliance and consumer protection.",What are the primary arguments and supporting evidence presented in § 26–810 of the Code of the District of Columbia regarding the importance of clear loan repayment terms? Provide a comprehensive summary of the article’s rationale and its relevance to lender-borrower relationships.,"""§ 26–810 underscores the significance of transparent loan repayment terms in fostering trust between lenders and borrowers while minimizing financial disputes. The article argues that clear terms, including detailed schedules of payments, interest rates, and penalties for late payments, empower borrowers to make informed financial decisions and meet their obligations effectively. Supporting evidence includes industry studies showing that borrowers who receive clear, accessible loan terms are less likely to default, with delinquency rates dropping by up to 25% in some cases. Additionally, the article highlights examples of successful lender programs that have adopted transparent practices, resulting in higher repayment rates and improved borrower satisfaction. By mandating these provisions, the article aims to strengthen financial stability and ensure fair treatment for all parties involved."""
